evaluationID,CoachSSN,NomineeSSN,ACoachSSN,evaluationDate,evaluationScore
1,100000001,100000021,100000011,2013-11-05,10
2,100000002,100000022,100000012,2013-08-19,20
3,100000003,100000023,100000013,2013-11-20,30
4,100000004,100000024,100000014,2013-08-16,40
5,100000005,100000025,100000015,2013-07-19,50
6,100000006,100000026,100000016,2013-06-12,60
7,100000007,100000027,100000017,2013-11-21,70
8,100000008,100000028,100000018,2013-11-13,80
9,100000009,100000029,100000019,2013-11-09,90
10,100000010,100000030,100000020,2013-06-08,100
11,100000001,100000031,100000011,2013-10-15,110
12,100000002,100000032,100000012,2013-06-14,120
13,100000003,100000033,100000013,2013-09-08,130
14,100000004,100000034,100000014,2013-09-06,140
15,100000005,100000035,100000015,2013-06-24,150
16,100000006,100000036,100000016,2013-09-23,160
17,100000007,100000037,100000017,2013-07-11,170
18,100000008,100000038,100000018,2013-07-20,180
19,100000009,100000039,100000019,2013-11-07,190
20,100000010,100000040,100000020,2013-10-21,200
21,100000001,100000041,100000011,2013-11-17,210
22,100000002,100000042,100000012,2013-08-15,220
23,100000003,100000043,100000013,2013-07-21,230
24,100000004,100000044,100000014,2013-07-17,240
25,100000005,100000045,100000015,2013-11-11,250
26,100000006,100000046,100000016,2013-08-10,260
27,100000007,100000047,100000017,2013-08-07,270
28,100000008,100000048,100000018,2013-06-03,280
29,100000009,100000049,100000019,2013-09-22,290
30,100000010,100000050,100000020,2013-09-25,300
31,100000001,100000051,100000011,2013-08-06,310
32,100000002,100000052,100000012,2013-09-05,320
33,100000003,100000053,100000013,2013-10-31,330
34,100000004,100000054,100000014,2013-06-21,340
35,100000005,100000055,100000015,2013-06-09,350
36,100000006,100000056,100000016,2013-10-26,360
37,100000007,100000057,100000017,2013-09-17,370
38,100000008,100000058,100000018,2013-06-10,380
39,100000009,100000059,100000019,2013-10-13,390
40,100000010,100000060,100000020,2013-11-02,400
41,100000001,100000061,100000011,2013-05-30,410
42,100000002,100000062,100000012,2013-10-06,420
43,100000003,100000063,100000013,2013-11-27,430
44,100000004,100000064,100000014,2013-08-12,440
45,100000005,100000065,100000015,2013-08-25,450
46,100000006,100000066,100000016,2013-06-05,460
47,100000007,100000067,100000017,2013-08-22,470
48,100000008,100000068,100000018,2013-07-28,480
49,100000009,100000069,100000019,2013-07-16,490
50,100000010,100000070,100000020,2013-07-05,500
51,100000001,100000071,100000011,2013-05-31,510
52,100000002,100000072,100000012,2013-08-01,520
53,100000003,100000073,100000013,2013-07-23,530
54,100000004,100000074,100000014,2013-05-21,540
55,100000005,100000075,100000015,2013-08-11,550
56,100000006,100000076,100000016,2013-08-26,560
57,100000007,100000077,100000017,2013-09-09,570
58,100000008,100000078,100000018,2013-07-15,580
59,100000009,100000079,100000019,2013-08-05,590
60,100000010,100000080,100000020,2013-07-10,600
61,100000001,100000081,100000011,2013-11-28,610
62,100000002,100000082,100000012,2013-09-11,620
63,100000003,100000083,100000013,2013-10-08,630
64,100000004,100000084,100000014,2013-06-04,640
65,100000005,100000085,100000015,2013-09-21,650
66,100000006,100000086,100000016,2013-06-29,660
67,100000007,100000087,100000017,2013-11-01,670
68,100000008,100000088,100000018,2013-06-28,680
69,100000009,100000089,100000019,2013-06-18,690
70,100000010,100000090,100000020,2013-10-23,700
71,100000001,100000091,100000011,2013-06-27,710
72,100000002,100000092,100000012,2013-10-22,720
73,100000003,100000093,100000013,2013-06-26,730
74,100000004,100000094,100000014,2013-10-14,740
75,100000005,100000095,100000015,2013-07-06,750
76,100000006,100000096,100000016,2013-11-18,760
77,100000007,100000097,100000017,2013-08-27,770
78,100000008,100000098,100000018,2013-11-08,780
79,100000009,100000099,100000019,2013-10-12,790
80,100000010,100000100,100000020,2013-09-03,800
81,100000001,100000101,100000011,2013-09-28,810
82,100000002,100000102,100000012,2013-10-05,820
83,100000003,100000103,100000013,2013-08-13,830
84,100000004,100000104,100000014,2013-07-03,840
85,100000005,100000105,100000015,2013-11-14,850
86,100000006,100000106,100000016,2013-08-28,860
87,100000007,100000107,100000017,2013-11-26,870
88,100000008,100000108,100000018,2013-05-22,880
89,100000009,100000109,100000019,2013-09-29,890
90,100000010,100000110,100000020,2013-10-02,900
91,100000001,100000111,100000011,2013-10-19,910
92,100000002,100000112,100000012,2013-12-01,920
93,100000003,100000113,100000013,2013-07-27,930
94,100000004,100000114,100000014,2013-10-25,940
95,100000005,100000115,100000015,2013-11-15,950
96,100000006,100000116,100000016,2013-05-26,960
97,100000007,100000117,100000017,2013-09-02,970
98,100000008,100000118,100000018,2013-05-25,980
99,100000009,100000119,100000019,2013-11-19,990
100,100000010,100000120,100000020,2013-09-16,1000
101,100000001,100000121,100000011,2013-09-30,1010
102,100000002,100000122,100000012,2013-07-12,1020
103,100000003,100000123,100000013,2013-10-29,1030
104,100000004,100000124,100000014,2013-10-03,1040
105,100000005,100000125,100000015,2013-07-22,1050
106,100000006,100000126,100000016,2013-05-23,1060
107,100000007,100000127,100000017,2013-07-31,1070
108,100000008,100000128,100000018,2013-07-25,1080
109,100000009,100000129,100000019,2013-11-10,1090
110,100000010,100000130,100000020,2013-12-02,1100
111,100000001,100000131,100000011,2013-06-06,1110
112,100000002,100000132,100000012,2013-06-11,1120
113,100000003,100000133,100000013,2013-08-23,1130
114,100000004,100000134,100000014,2013-10-18,1140
115,100000005,100000135,100000015,2013-07-24,1150
116,100000006,100000136,100000016,2013-08-24,1160
117,100000007,100000137,100000017,2013-05-29,1170
118,100000008,100000138,100000018,2013-09-15,1180
119,100000009,100000139,100000019,2013-08-18,1190
120,100000010,100000140,100000020,2013-06-01,1200
121,100000001,100000141,100000011,2013-07-18,1210
122,100000002,100000142,100000012,2013-11-30,1220
123,100000003,100000143,100000013,2013-07-14,1230
124,100000004,100000144,100000014,2013-06-02,1240
125,100000005,100000145,100000015,2013-05-20,1250
126,100000006,100000146,100000016,2013-08-14,1260
127,100000007,100000147,100000017,2013-11-29,1270
128,100000008,100000148,100000018,2013-12-05,1280
129,100000009,100000149,100000019,2013-09-19,1290
130,100000010,100000150,100000020,2013-08-09,1300
131,100000001,100000151,100000011,2013-11-03,1310
132,100000002,100000152,100000012,2013-09-13,1320
133,100000003,100000153,100000013,2013-12-03,1330
134,100000004,100000154,100000014,2013-07-02,1340
135,100000005,100000155,100000015,2013-05-27,1350
136,100000006,100000156,100000016,2013-09-10,1360
137,100000007,100000157,100000017,2013-11-22,1370
138,100000008,100000158,100000018,2013-11-24,1380
139,100000009,100000159,100000019,2013-10-20,1390
140,100000010,100000160,100000020,2013-10-11,1400
141,100000001,100000161,100000011,2013-06-17,1410
142,100000002,100000162,100000012,2013-08-20,1420
143,100000003,100000163,100000013,2013-10-24,1430
144,100000004,100000164,100000014,2013-11-25,1440
145,100000005,100000165,100000015,2013-08-08,1450
146,100000006,100000166,100000016,2013-11-04,1460
147,100000007,100000167,100000017,2013-10-30,1470
148,100000008,100000168,100000018,2013-06-07,1480
149,100000009,100000169,100000019,2013-10-04,1490
150,100000010,100000170,100000020,2013-09-04,1500
151,100000001,100000171,100000011,2013-09-24,1510
152,100000002,100000172,100000012,2013-07-26,1520
153,100000003,100000173,100000013,2013-08-17,1530
154,100000004,100000174,100000014,2013-06-30,1540
155,100000005,100000175,100000015,2013-07-29,1550
156,100000006,100000176,100000016,2013-11-16,1560
157,100000007,100000177,100000017,2013-10-01,1570
158,100000008,100000178,100000018,2013-08-02,1580
159,100000009,100000179,100000019,2013-07-07,1590
160,100000010,100000180,100000020,2013-10-16,1600
161,100000001,100000181,100000011,2013-05-28,1610
162,100000002,100000182,100000012,2013-10-28,1620
163,100000003,100000183,100000013,2013-07-30,1630
164,100000004,100000184,100000014,2013-07-04,1640
165,100000005,100000185,100000015,2013-10-27,1650
166,100000006,100000186,100000016,2013-09-12,1660
167,100000007,100000187,100000017,2013-08-03,1670
168,100000008,100000188,100000018,2013-05-24,1680
169,100000009,100000189,100000019,2013-06-25,1690
170,100000010,100000190,100000020,2013-07-13,1700
171,100000001,100000191,100000011,2013-08-31,1710
172,100000002,100000192,100000012,2013-06-23,1720
173,100000003,100000193,100000013,2013-06-22,1730
174,100000004,100000194,100000014,2013-09-07,1740
